left,right,correct
0.3,0.7,right
0.9,0.4,left
0.15,0.51,right
0.8,0.6,left
0.25,0.52,right
0.99,0.91,left
0.33,0.38,right
0.72,0.27,left
0.45,0.54,right
0.88,0.81,left
1.6,1.3,left
2.1,2.9,right
0.05,0.50,right
3.5,3.2,left
0.67,0.76,right
0.5,\frac{1}{2},equal
0.75,\frac{3}{4},equal
0.25,\frac{1}{4},equal
0.2,\frac{1}{5},equal
1.5,\frac{3}{2},equal
0.3,\frac{1}{4},left
0.6,\frac{3}{4},right
\frac{2}{3},0.7,right
\frac{5}{2},2.4,left
\frac{7}{4},1.8,right
\frac{4}{3},1.2,left
0.9,\frac{7}{8},left
\frac{9}{5},1.7,left
\frac{3}{8},0.4,right
\frac{11}{4},2.8,right
